conversation_id,total_messages,user_messages,ai_messages,errors,empty_responses,please_wait_count,success_rate,avg_latency_ms,min_latency_ms,max_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms
chat-8fac27828a15,12,11,12,0,0,0,100.0,3970.11,286.34,6835.13,3991.05,6177.94,6703.69
chat-6853c47f5ace,15,14,15,0,0,0,100.0,3793.95,252.51,7435.96,4026.4,6181.91,7185.15
